,age,region,grades,responsibility,employment,competition,gini,privatization
210,0-25,osrednjeslovenska,spomin,9,3,7,6,4
211,0-25,goriska,spomin,8,9,9,5,5
212,0-25,obalno_kraska,b,8,7,6,8,5
213,0-25,osrednjeslovenska,b,8,5,6,8,6
214,0-25,gorenjska,spomin,9,8,7,5,3
215,0-25,osrednjeslovenska,d,10,10,8,2,10
216,0-25,obalno_kraska,spomin,8,10,9,8,7
217,0-25,osrednjeslovenska,spomin,8,10,8,3,9
218,0-25,zasavska,c,10,3,10,8,8
219,0-25,osrednjeslovenska,c,9,9,10,8,10
220,0-25,goriska,c,8,5,7,7,6
221,0-25,osrednjeslovenska,a,8,8,8,5,9
222,0-25,savinjska,spomin,8,7,9,5,10
223,0-25,osrednjeslovenska,spomin,6,7,7,5,4
224,0-25,goriska,c,8,6,8,10,8
225,0-25,osrednjeslovenska,c,9,10,8,3,10
226,0-25,savinjska,spomin,10,4,9,5,7
227,26-35,goriska,d,10,8,8,4,8
228,0-25,gorenjska,d,8,8,10,2,9
229,0-25,savinjska,c,8,9,9,7,5
230,0-25,jv_slovenija,spomin,9,10,8,3,10
231,0-25,osrednjeslovenska,spomin,9,8,10,5,5
232,0-25,osrednjeslovenska,b,7,9,10,4,6
233,0-25,obalno_kraska,c,9,7,9,5,6
234,0-25,podravska,c,7,3,8,6,5
235,0-25,osrednjeslovenska,d,8,8,5,10,1
